source,source_ids,name,postcode,streetaddress,loc_lat,loc_long,website,phone
alma,94e66c20abf03e60,Est-Ethics Clinic,G1 1DN,"Alma Partner Clinic - 170 Ingram Street, Unit 6, Italian Center,, G1 1DN, United Kingdom, Glasgow",55.8616704,-4.2583345,,+44 0141 343 2424
alma,ab687d931166dae0,The Pro Waxing Company,G2 3EX,"Kensington house Floor 3/1 227 Sauchiehall Street, G2 3EX, United Kingdom, Glasgow",55.8650686,-4.2613603,,+44 7454008875
alma,7b9a0cf79fcd1f66,Health and aesthetics,GU86LB,"Oak house, Gu86lb, United Kingdom, Godalming",51.1844691,-0.6852832,,01252933133
alma,c7f791fc692fe3fe,Majestic Clinic,HA7 4AR,"9 Church Road, HA7 4AR, United Kingdom, London",51.6176471,-0.3120539,,07850868984
alma,aba6e9173db32f15,Alexandra Aesthetics,HP2 4AG,"98 Alexandra Road, HP2 4AG, United Kingdom, Hemel Hemsptead",51.7534529,-0.4696758,,+44 1442256335
alma,aa35bb89b1ac7a7e,Skin by Sarah LTD,HX3 7UE,"Unit 7 Grove Mills Wade House Road, HX3 7UE, United Kingdom, Halifax",53.72702,-1.85754,,+44 7780022362
alma,e4af476d85816c73,Dr MediSpa,IG10 1DX,"8 Forest Road,, IG10 1DX, United Kingdom, Loughton",51.6464281,0.0535456,,+44 020 8418 0362
alma,df509a047ab665cb,Clinic 22 &#8211; Wellness and Aesthetics,KA1 2DD,"32a Grange St,, KA1 2DD, United Kingdom, Kilmarnock",55.6087313,-4.5015917,,+44 01563 257020
alma,9a8b0f3a2edd1a69,Laser Cafe,L13 6QQ,"190 Derby Ln, Old Swan,, L13 6QQ, United Kingdom, Liverpool",53.4205918,-2.9142489,,+44 07944 440647
alma,9c4da1bf783b388f,Dermalite Skin Clinic,LE1 3LJ,"5 Gower St,, LE1 3LJ, United Kingdom, Leicester",52.640539,-1.1286315,,+44 0116 442 0266
alma,2b61939aafaa3a70,Glossy Aesthetics LTD,LE1 7QA,"158 Upper New Walk, LE1 7QA, United Kingdom, Leicester",52.626791,-1.120049,,+44 7405181540
alma,f2e98cef1b19c209,Leicester MediSpa,LE2 5BB,"19 The Parade, Oadby,, LE2 5BB, United Kingdom, Leicester",52.5990152,-1.0839351,,+44 0116 303 2555
alma,d49641cc85c78aa1,Kanaiya Investments LTD,LE3 8SG,"Unit 1 underwood court Elm Tree Avenue Glenfield le3 8SG, le3 8sg, United Kingdom, Leicester",52.6450198,-1.2042938,,+44 7592339722
alma,fd3900c8cc7a5831,Brazilian Waxing Company,M1 6EY,"3-5 Oxford Rd,, M1 6EY, United Kingdom, Manchester",53.4736946,-2.2397969,,07456 989911
alma,f1ae4dcc0eb209e6,Emzi Skin Clinic,M20 3EB,"52 Burton Rd, Withington, M20 3EB, United Kingdom, Manchester",53.432198,-2.2353337,,+447710816821
alma,f85f36afa71ade1e,Dermaspa Milton Keynes,MK16 0HU,"Haybrook Barn, Newport Rd, Broughton,, MK16 0HU, United Kingdom, Milton Keynes",52.0510269,-0.6926419,,+44 01908 242023
alma,3d619bbf8fd0f990,Nilam Holmes Limited,MK16 0HU,"Unit K Haybrook Barn, Newport Road,, MK16 0HU, United Kingdom, Broughton, Milton Keynes",52.0510269,-0.6926419,,07584091818
alma,a4dbdbffbb259e7e,Melanie Collins Aesthetic,MK451FN,"Unit 4, The Hawthorns Flitwick MK451FN, MK45 1FN, United Kingdom",52.006382,-0.4964736,,07554 405988
alma,dcc7960f9706748b,Science Ltd,N102PU,"N102pu, United Kingdom, London",51.5927387,-0.1384125,,07973461667
alma,e31a7977e55f9eae,Sharp Beauty,N15 4JB,"2A Philip Lane, N15 4JB, United Kingdom, London",51.5885957,-0.0709366,,07459520086
alma,97faf915859fe1e9,MBK Medspa,N18 1RT,"166 Warwick Road, N18 1RT, United Kingdom, London",51.6199319,-0.0727986,,07748 886061
alma,7ba9a67318c96638,BH SKIN LTD,N21 2AR,"42 Ridge Avenue, N21 2AR, United Kingdom, London",51.6361284,-0.0867102,,07787642612
alma,cfd5748336415d9e,Esho Clinic &#8211; Newcastle,NE3 1HN,"8 Lansdowne terrace Gosforth high street, Ne3 1hn, United Kingdom, NewCastle",55.0084944,-1.6209028,,ooooooo
alma,42f5ac860210cdcb,CULTSKIN®,NE3 1HQ,"229 High St, Gosforth,, NE3 1HQ, United Kingdom, Newcastle upon Tyne",55.007939,-1.6201701,,+44 0203 970 4693
alma,a99cf6e41ecaed78,New Look Laser Treatment Clinic,NE33 4BA,"New Look Laser Treatment Ltd 8 Stanhope Parade, NE33 4BA, United Kingdom, South Shields",54.9856929,-1.4300488,,01914544641
alma,bd03a30003819382,Indulgence Beauty,NN11 4BG,"13B High Street, NN11 4BG, United Kingdom, Daventry",52.2581938,-1.1610472,,+44 07734 - 565864
alma,9925fc0fabc00185,Sasha Core Skin + Laser Clinic,NN16 0AH,"24 Market St,, NN16 0AH, United Kingdom, Kettering",52.3980584,-0.7271741,,+44 07792 155362
alma,d59ebcdb585d0854,Laser Me Out,NW1 5PH,"146 Marylebone Rd,, NW1 5PH, United Kingdom, London",51.5222279,-0.1585722,,+44 2077884712
alma,5a34a295e7e74c48,Nuyu london,NW1 8JN,"9 Princess road Primrose Hill, NW1 8JN, United Kingdom, London",51.5387209,-0.1527131,,+44 7813000000
alma,0fb50fa5fbfdd22b,Z:N Aesthetics,NW3 6JP,"17 Harben Parade, Finchley Road, NW3 6JP, United Kingdom, London",51.5451886,-0.1774317,,+44 020 7458 4062
alma,b58c6bd60deae245,Beauty concept by Valerie,NW6 2LU,"92 West End lane West Hampstead, NW6 2LU, United Kingdom, London",51.5460277,-0.1909737,,+44 7548770678
alma,495b692394902b1f,55a Dental,NW87NL,"Nw87nL, United Kingdom, London",51.5335979,-0.1712064,,07309848002
alma,9a482d44d5cdf147,Sheetal’s Hair. Beauty &amp; Laser cliniv,NW9 9ED,"491 Kingsbury Road, NW9 9ED, United Kingdom, London",51.5853062,-0.277464,,+44 2082046054
alma,474440bb280d3ee3,Caseglory LTD,OX2 7BD,"1a Oakthorpe Villas, Oakthorpe Road,, OX2 7BD, United Kingdom, Oxford",51.775856,-1.2674336,,07961205659
alma,72202be0ae897d51,OxBeauty Clinic,OX26 6JW,"71A Sheep Street, OX26 6JW, United Kingdom, Bicester",51.8994243,-1.1527924,,+44 7886668666
alma,1e5bf74f5a1f92dd,MeadowView Aesthetics Skin and Laser Specialist,OX39 4SJ,"High St, Kingston Blount,, OX39 4SJ, United Kingdom, Chinnor",51.6886791,-0.9323844,,+44 7979 652460
alma,03c829bf6634f79a,Well Skin Clinic,PE1 1NA,"40 Cowgate, PE1 1NA, United Kingdom, Peterborough",52.5727208,-0.2461695,,01733 555540
alma,1cda71aeafe37323,Dr BK medical aesthetic clinic,RG14DA,"115 queens road, RG14DA, United Kingdom, Reading",51.4539838,-0.9609008,,01189606930
alma,9299a0ba8fe94430,The Colour Palette,RG45 6DS,"196b Dukes Ride, Crowthorne,, RG45 6DS, United Kingdom, Berkshire",51.3674944,-0.8174224,,+44 1344379360
alma,ea36771e643cf885,OG Skinhouse,RG45 6DX,"4 Barwell Close, RG45 6DX, United Kingdom, Crowthorne",51.3693123,-0.8144948,,07474783442
alma,15662593e93cef23,OG Skinhouse ltd,RG45 6DX,"4 Barwell Close, RG45 6DX, United Kingdom, Crowthorne",51.3693123,-0.8144948,,+44 7474 783442
alma,eb57c8525f6bc794,D Aesthetics Ltd,SE1 3TQ,"212 Bermondsey Street, SE1 3TQ, United Kingdom, London",51.4981754,-0.0814544,,07575899401
alma,5fdd3d6d1bb7be0a,Dermaesthetics Clinic,SE1 3TQ,"212 Bermondsey street, Se1 3tq, United Kingdom, Southwark",51.4981754,-0.0814544,,02075096415
alma,67eb0ac72a4ac617,Keira London,SE13 6JU,"248 lewisham high street, SE13 6JU, United Kingdom, London",51.4586379,-0.012954,,+44 7983959258
alma,585b621555b2e0ee,Estemedical Group Cheshire,SK9 1BG,"18-30 manchester road Wilmslow, SK9 1BG, United Kingdom, Cheshire",53.3281666,-2.2284624,,+44 7710804377
alma,48cd11351dcf0336,SL Laser &amp; Skin Clinic,SL1 4XP,"175 Farnham Road, SL1 4XP, United Kingdom, Slough",51.5249929,-0.6159499,,07832235509
alma,20c4bae6171b7d19,Live Beautiful Ltd,SL5 8FX,"23 Seymour Drive Winkfield Row, SL5 8FX, United Kingdom, Ascot",51.4108737,-0.710444,,07904005649
alma,c0b87222766e2b28,Berkshire Aesthetics,SL6 6PR,"Furze Platt Road, Maidenhead, SL6 6PR, United Kingdom, Berkshire",51.5390828,-0.7618115,,01628 202028
alma,ed331f9455a73733,The Nish Clinic,SS1 3EU,"204 The Broadway, SS1 3EU, United Kingdom, Southend on Sea",51.5367365,0.7617733,,07503754061
alma,6bc4c58d25303553,SKIN 44,SS11 8AX,"SS11 8AX, United Kingdom",51.6145256,0.5278226,,07903846744
alma,17b7c4338b09ea04,Timeless Touch by Sandy Ltd,SS15 6LA,"SS15 6LA, United Kingdom, Basildon",51.5833534,0.4129493,,07957000358
alma,7daa79c387720d52,Barbarapointon Facial Aesthetics &amp; Beauty,ST16 2LZ,"30 Eastgate Street, ST16 2LZ, United Kingdom, Stafford",52.806558,-2.1130206,,01785 214601
alma,a355a401dc86a394,Lu Lu Laser Clinic Ltd,SW18 4JB,"127-129 Wandsworth High Street, SW18 4JB, United Kingdom, London",51.4572197,-0.1953224,,+44 7734243377
alma,d3c0d8abcab05921,Iluvo Aesthetics LTD,SW181UN,"iluvo aesthetics, ram quater, 5 Ryeland Blvd, London SW181UN, SW18 1UN, United Kingdom, London",51.4582412,-0.1930449,,+44 7500868364
alma,d90501c9df1ad5be,Semo’s Aesthetics Studio,SW19 1AY,"Therapy Spaces 174 Merton High Street, SW19 1AY, United Kingdom, London",51.4158533,-0.1893218,,07494638348
alma,099403b4dad60032,CULTSKIN,SW19 4QW,"36 Ridgway, SW19 4QW, United Kingdom, Wimbledon",51.4226759,-0.2173104,,+44 2039704693
alma,4ea00c3058608db9,Wimbledon Clinic Aesthetics,SW198NJ,"1-2 St Andrews Close, sw198nj, United Kingdom, wimbledon",51.4237369,-0.1943933,,02085435477
alma,20866672b23a16e7,Fine Clinic London Ltd,SW1Y 5EA,"120 Pall Mall, SW1Y 5EA, United Kingdom, London",51.5073992,-0.1313045,,+44 7878 217124
alma,d55ec1471cd93e04,The Dolls London,SW32HP,"81-83 Walton street, Sw32hp, United Kingdom, London",51.4943924,-0.1672237,,+44 20 7183 2304
alma,e7d3cbfec572be31,Este Medical Group London,SW5 9RX,"SW5 9RX, United Kingdom, London",51.4934455,-0.1938329,,07875548162
alma,73a4008c32aecbbe,ESTE MEDİCAL GROUP,SW59RX,"14-15 child place, Sw59rx, United Kingdom, LONDON",51.4933308,-0.1934178,,+44 7723743446
alma,95ca8f5c5e6e30ea,Smooth Skin Clinic,SW6 4SW,"181 New Kings Road, SW6 4SW, United Kingdom, London",51.473482,-0.1967945,,+44 2033434441
alma,4ea29e8abb1175cc,Body Lounge Spa,SW6 6DH,"113b Munster Road, Fulham, SW6 6DH, United Kingdom, London",51.4764029,-0.2093466,,+44 7905847787
alma,7d71c75d77e9df91,Anstrum Medical LTD,SW7 1EW,"43 Cheval Place, SW7 1EW, United Kingdom, London",51.4983375,-0.1673057,,07787 423514
alma,d0cef97642b6960e,SEMOS AESTHETICS STUDIO,SW9 8PU,"65a Atlantic Road, SW9 8PU, United Kingdom, London",51.4613942,-0.1112324,,07494638348
alma,36948fd51ca06a88,HiTech Aesthetics,TN1 2QX,"114 Camden Road, TN1 2QX, United Kingdom, Tunbridge Wells",51.1366822,0.2695132,,01892338157
alma,88f87f13d001e5e0,The Cindy Knight Clinic Ltd,TN11 9HP,"174 Tonbridge Rd, Hildenborough,, TN11 9HP, United Kingdom, Tonbridge",51.2164566,0.2416275,,+44 1732832004
alma,ba8a6812572e7bf7,House of skincare,TQ12 3HZ,"1 imperial buildings, Tq12 3hz, United Kingdom, Kingsteignton",50.5533113,-3.5970333,,+44 1626210527
alma,fed22dd8c4f254c6,Teresa Tarmey,W11 1NR,"206-208 Kensington Park Rd,, W11 1NR, United Kingdom, London",51.5161855,-0.2059498,,+44 020 3983 4100
alma,85b79dc57f36d41a,EC Aesthetic Clinic,W1G 7HL,"80 Harley Street, W1G 7HL, United Kingdom, London",51.520178,-0.1472036,,02075801149
alma,a77b59efd05c6032,Dr Haus Dermatology,W1G 8QL,"W1G 8QL, United Kingdom, London",51.5197471,-0.1475744,,02079356358
alma,8614d25ab8f84916,London Lip Clinic,W1G 9QY,"8 Harley Street, W1G 9QY, United Kingdom, London",51.5173872,-0.1473633,,07956576666
alma,827a8a33ccbadccf,Radiant Professionals Ltd,W1H6AZ,"Unit 4 10 Portman Square, W1H6AZ, United Kingdom, London",51.516682,-0.1546793,,07947922255
alma,1fee2f4e717d8be4,The Aesthetic Doctor,W1K 5SL,"58 South Molton Street, W1K 5SL, United Kingdom, London",51.5135595,-0.1472748,,07395 308112
alma,698d197b5eea53f4,Hart Medical,W1S 1EZ,"13 Lancashire Ct,, W1S 1EZ, United Kingdom, London",51.5124985,-0.1455269,,+44 7974541398
alma,747b29a578dfd5df,London Hair Care Clinic,W1U 5HJ,"49 Marylebone High Street, W1U 5HJ​, United Kingdom, London",51.5215291,-0.1516652,,+44 7871708080
alma,cac219c07a9c6a52,Pulse Laser,W1W 7RY,"70 mortimer st, w1w 7ry, United Kingdom, london",51.5176529,-0.1420143,,02034058483
alma,d800095d757f7fca,Lia Aesthetics LTD,WC2H 7AS,"Cameo House 11 Bear Street, WC2H 7AS, United Kingdom, London",51.5108827,-0.1292043,,+44 7533711710
